MatrixID,SpeciesAccepted,Authors,YearPublication
238526,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238527,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238528,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238529,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238530,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238531,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238532,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238533,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238534,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238535,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238536,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238537,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238538,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238539,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238540,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238541,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238542,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238543,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238544,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238545,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238546,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238547,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238548,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238549,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238550,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238551,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238552,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238553,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238554,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238555,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238556,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238557,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238558,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238559,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238560,Dracocephalum austriacum,Dostálek; Münzbergová,2013
238561,Echinacea angustifolia,Dykstra,2013
238562,Echinacea angustifolia,Dykstra,2013
238563,Echinacea angustifolia,Dykstra,2013
238564,Echinacea angustifolia,Dykstra,2013
238565,Epipactis atrorubens,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,2017
238566,Epipactis atrorubens,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,2017
238568,Epipactis atrorubens,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,2017
238569,Epipactis atrorubens,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,2017
238570,Epipactis atrorubens,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,2017
238574,Epipactis atrorubens,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,2017
238575,Epipactis atrorubens,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,2017
238576,Epipactis atrorubens,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,2017
238578,Eriophorum angustifolium subsp. triste,Tolvanen; Schroderus; Henry,2001
238579,Eriophorum angustifolium subsp. triste,Tolvanen; Schroderus; Henry,2001
238580,Eritrichium caucasicum,Logofet; Belova; Kazantseva; Onipchenko,2017
238581,Eritrichium caucasicum,Logofet; Belova; Kazantseva; Onipchenko,2017
238582,Eritrichium caucasicum,Logofet; Belova; Kazantseva; Onipchenko,2017
238583,Eritrichium caucasicum,Logofet; Belova; Kazantseva; Onipchenko,2017
238584,Eritrichium caucasicum,Logofet; Belova; Kazantseva; Onipchenko,2017
238585,Erythronium japonicum,Takada; Nakayama; Kawano,1998
238586,Frasera speciosa,Che-Castaldo; Inouye,2011
238587,Frasera speciosa,Che-Castaldo; Inouye,2011
238588,Frasera speciosa,Che-Castaldo; Inouye,2011
238589,Frasera speciosa,Che-Castaldo; Inouye,2011
238590,Frasera speciosa,Che-Castaldo; Inouye,2011
238591,Frasera speciosa,Che-Castaldo; Inouye,2011
238592,Frasera speciosa,Che-Castaldo; Inouye,2011
238593,Frasera speciosa,Che-Castaldo; Inouye,2011
238594,Frasera speciosa,Che-Castaldo; Inouye,2011
238595,Frasera speciosa,Che-Castaldo; Inouye,2011
238596,Frasera speciosa,Che-Castaldo; Inouye,2011
238597,Frasera speciosa,Che-Castaldo; Inouye,2011
238598,Frasera speciosa,Che-Castaldo; Inouye,2011
238599,Frasera speciosa,Che-Castaldo; Inouye,2011
238600,Frasera speciosa,Che-Castaldo; Inouye,2011
